Bnccindx,Calculation1,Category,Date
54.8089,Economic Mood Index,Canada,5/31/2013
57.4982,Economic Mood Index,Canada,6/7/2013
57.6144,Economic Mood Index,Canada,6/14/2013
57.2703,Economic Mood Index,Canada,6/21/2013
58.2258,Economic Mood Index,Canada,6/28/2013
58.457,Economic Mood Index,Canada,7/5/2013
58.4931,Economic Mood Index,Canada,7/12/2013
58.2053,Economic Mood Index,Canada,7/19/2013
58.0776,Economic Mood Index,Canada,7/26/2013
58.8909,Economic Mood Index,Canada,8/2/2013
58.4686,Economic Mood Index,Canada,8/9/2013
57.5061,Economic Mood Index,Canada,8/16/2013
57.0121,Economic Mood Index,Canada,8/23/2013
56.8276,Economic Mood Index,Canada,8/30/2013
57.3056,Economic Mood Index,Canada,9/6/2013
58.6864,Economic Mood Index,Canada,9/13/2013
59.2273,Economic Mood Index,Canada,9/20/2013
59.7516,Economic Mood Index,Canada,9/27/2013
59.0415,Economic Mood Index,Canada,10/4/2013
58.5047,Economic Mood Index,Canada,10/11/2013
58.0305,Economic Mood Index,Canada,10/18/2013
57.6863,Economic Mood Index,Canada,10/25/2013
58.4909,Economic Mood Index,Canada,11/1/2013
58.1865,Economic Mood Index,Canada,11/8/2013
58.9834,Economic Mood Index,Canada,11/15/2013
59.4244,Economic Mood Index,Canada,11/22/2013
58.8797,Economic Mood Index,Canada,11/29/2013
59.2778,Economic Mood Index,Canada,12/6/2013
58.3154,Economic Mood Index,Canada,12/13/2013
57.7988,Economic Mood Index,Canada,12/20/2013
58.4317,Economic Mood Index,Canada,12/27/2013
58.7556,Economic Mood Index,Canada,1/3/2014
59.216,Economic Mood Index,Canada,1/10/2014
58.6771,Economic Mood Index,Canada,1/17/2014
57.6076,Economic Mood Index,Canada,1/24/2014
56.6361,Economic Mood Index,Canada,1/31/2014
55.9965,Economic Mood Index,Canada,2/7/2014
57.0538,Economic Mood Index,Canada,2/14/2014
57.5981,Economic Mood Index,Canada,2/21/2014
58.617,Economic Mood Index,Canada,2/28/2014
59.2292,Economic Mood Index,Canada,3/7/2014
58.3932,Economic Mood Index,Canada,3/14/2014
58.0486,Economic Mood Index,Canada,3/21/2014
57.9547,Economic Mood Index,Canada,3/28/2014
58.0749,Economic Mood Index,Canada,4/4/2014
59.0362,Economic Mood Index,Canada,4/11/2014
60.0009,Economic Mood Index,Canada,4/18/2014
60.0746,Economic Mood Index,Canada,4/25/2014
59.6218,Economic Mood Index,Canada,5/2/2014
59.4884,Economic Mood Index,Canada,5/9/2014
59.5572,Economic Mood Index,Canada,5/16/2014
59.5831,Economic Mood Index,Canada,5/23/2014
60.0387,Economic Mood Index,Canada,5/30/2014
59.5421,Economic Mood Index,Canada,6/6/2014
58.6909,Economic Mood Index,Canada,6/13/2014
58.505,Economic Mood Index,Canada,6/20/2014
59.1959,Economic Mood Index,Canada,6/27/2014
59.8706,Economic Mood Index,Canada,7/4/2014
60.4986,Economic Mood Index,Canada,7/11/2014
60.6046,Economic Mood Index,Canada,7/18/2014
59.7468,Economic Mood Index,Canada,7/25/2014
58.9495,Economic Mood Index,Canada,8/1/2014
58.5913,Economic Mood Index,Canada,8/8/2014
58.8328,Economic Mood Index,Canada,8/15/2014
58.9658,Economic Mood Index,Canada,8/22/2014
58.9962,Economic Mood Index,Canada,8/29/2014
59.1039,Economic Mood Index,Canada,9/5/2014
58.7624,Economic Mood Index,Canada,9/12/2014
59.275,Economic Mood Index,Canada,9/19/2014
