date_recovered,province,cumulative_recovered
28-04-2020,BC,1231.0
27-04-2020,BC,1190.0
26-04-2020,BC,1137.0
25-04-2020,BC,1137.0
24-04-2020,BC,1114.0
23-04-2020,BC,1092.0
22-04-2020,BC,1079.0
21-04-2020,BC,1041.0
20-04-2020,BC,1039.0
19-04-2020,BC,987.0
18-04-2020,BC,987.0
17-04-2020,BC,966.0
16-04-2020,BC,966.0
15-04-2020,BC,955.0
14-04-2020,BC,942.0
13-04-2020,BC,926.0
12-04-2020,BC,905.0
11-04-2020,BC,905.0
10-04-2020,BC,879.0
09-04-2020,BC,858.0
08-04-2020,BC,838.0
07-04-2020,BC,805.0
06-04-2020,BC,783.0
05-04-2020,BC,704.0
04-04-2020,BC,704.0
03-04-2020,BC,673.0
02-04-2020,BC,641.0
01-04-2020,BC,606.0
31-03-2020,BC,507.0
30-03-2020,BC,469.0
29-03-2020,BC,396.0
28-03-2020,BC,396.0
27-03-2020,BC,275.0
26-03-2020,BC,186.0
25-03-2020,BC,183.0
24-03-2020,BC,173.0
23-03-2020,BC,100.0
22-03-2020,BC,6.0
21-03-2020,BC,6.0
20-03-2020,BC,6.0
19-03-2020,BC,5.0
18-03-2020,BC,5.0
17-03-2020,BC,5.0
16-03-2020,BC,5.0
15-03-2020,BC,5.0
14-03-2020,BC,5.0
13-03-2020,BC,5.0
12-03-2020,BC,4.0
11-03-2020,BC,4.0
10-03-2020,BC,4.0
09-03-2020,BC,4.0
08-03-2020,BC,4.0
07-03-2020,BC,4.0
06-03-2020,BC,4.0
05-03-2020,BC,4.0
04-03-2020,BC,4.0
03-03-2020,BC,4.0
02-03-2020,BC,4.0
01-03-2020,BC,4.0
29-02-2020,BC,4.0
28-02-2020,BC,4.0
27-02-2020,BC,4.0
26-02-2020,BC,4.0
25-02-2020,BC,4.0
24-02-2020,BC,1.0
23-02-2020,BC,1.0
22-02-2020,BC,1.0
21-02-2020,BC,1.0
20-02-2020,BC,1.0
19-02-2020,BC,1.0
18-02-2020,BC,0.0
17-02-2020,BC,0.0
16-02-2020,BC,0.0
15-02-2020,BC,0.0
14-02-2020,BC,0.0
13-02-2020,BC,0.0
12-02-2020,BC,0.0
22-01-2021,Manitoba,24204.0
21-01-2021,Manitoba,24091.0
20-01-2021,Manitoba,23968.0
19-01-2021,Manitoba,23869.0
18-01-2021,Manitoba,23748.0
17-01-2021,Manitoba,23661.0
16-01-2021,Manitoba,23575.0
15-01-2021,Manitoba,23478.0
14-01-2021,Manitoba,23313.0
13-01-2021,Manitoba,23014.0
12-01-2021,Manitoba,22692.0
11-01-2021,Manitoba,22295.0
10-01-2021,Manitoba,20850.0
09-01-2021,Manitoba,20769.0
08-01-2021,Manitoba,20655.0
07-01-2021,Manitoba,20519.0
06-01-2021,Manitoba,20376.0
05-01-2021,Manitoba,20252.0
04-01-2021,Manitoba,20133.0
03-01-2021,Manitoba,19982.0
02-01-2021,Manitoba,19789.0
01-01-2021,Manitoba,19528.0
31-12-2020,Manitoba,19528.0
30-12-2020,Manitoba,19408.0
29-12-2020,Manitoba,19302.0
28-12-2020,Manitoba,19156.0
27-12-2020,Manitoba,19012.0
26-12-2020,Manitoba,18518.0
25-12-2020,Manitoba,18518.0
24-12-2020,Manitoba,18518.0
23-12-2020,Manitoba,18349.0
22-12-2020,Manitoba,18208.0
21-12-2020,Manitoba,16717.0
20-12-2020,Manitoba,16541.0
19-12-2020,Manitoba,16406.0
18-12-2020,Manitoba,16248.0
17-12-2020,Manitoba,15681.0
16-12-2020,Manitoba,15506.0
15-12-2020,Manitoba,15265.0
14-12-2020,Manitoba,14974.0
13-12-2020,Manitoba,14805.0
12-12-2020,Manitoba,14637.0
11-12-2020,Manitoba,14410.0
10-12-2020,Manitoba,14116.0
09-12-2020,Manitoba,13869.0
08-12-2020,Manitoba,13577.0
07-12-2020,Manitoba,13262.0
06-12-2020,Manitoba,9195.0
05-12-2020,Manitoba,8927.0
04-12-2020,Manitoba,8535.0
03-12-2020,Manitoba,8268.0
02-12-2020,Manitoba,8072.0
01-12-2020,Manitoba,7713.0
30-11-2020,Manitoba,7253.0
29-11-2020,Manitoba,7010.0
28-11-2020,Manitoba,6804.0
27-11-2020,Manitoba,6487.0
26-11-2020,Manitoba,6177.0
25-11-2020,Manitoba,5893.0
24-11-2020,Manitoba,5633.0
23-11-2020,Manitoba,5353.0
22-11-2020,Manitoba,5193.0
21-11-2020,Manitoba,5075.0
20-11-2020,Manitoba,4851.0
19-11-2020,Manitoba,4655.0
18-11-2020,Manitoba,4432.0
17-11-2020,Manitoba,4324.0
16-11-2020,Manitoba,4156.0
15-11-2020,Manitoba,4070.0
14-11-2020,Manitoba,3891.0
13-11-2020,Manitoba,3772.0
12-11-2020,Manitoba,3620.0
11-11-2020,Manitoba,3509.0
10-11-2020,Manitoba,3374.0
09-11-2020,Manitoba,3234.0
08-11-2020,Manitoba,3175.0
07-11-2020,Manitoba,3126.0
06-11-2020,Manitoba,3037.0
05-11-2020,Manitoba,2920.0
04-11-2020,Manitoba,2892.0
03-11-2020,Manitoba,2797.0
02-11-2020,Manitoba,2740.0
01-11-2020,Manitoba,2704.0
31-10-2020,Manitoba,2646.0
30-10-2020,Manitoba,2572.0
29-10-2020,Manitoba,2423.0
28-10-2020,Manitoba,2306.0
27-10-2020,Manitoba,2236.0
26-10-2020,Manitoba,2177.0
25-10-2020,Manitoba,2142.0
